Gene1,Gene2,Aag_Edge_Weight
FAM173A|65990,COX5B|1329,2.1
FBXL15|79176,ADAT3|113179,2.1
FBXL15|79176,FAM173A|65990,2.1
FBXL6|26233,ADCK5|203054,2.1
FH|2271,AIFM1|9131,2.1
FLT4|2324,AFAP1L1|134265,2.1
G2E3|55632,ALG10B|144245,2.1
GIMAP5|55340,GIMAP1|170575,2.1
GOT1|2805,FH|2271,2.1
GPN3|51184,CHMP5|51510,2.1
GPR34|2857,C3AR1|719,2.1
HDAC10|83933,GGA1|26088,2.1
HIST1H2BC|8347,HIST1H2AC|8334,2.1
HLA-DPB1|3115,CD74|972,2.1
HLA-DRA|3122,CIITA|4261,2.1
HLA-F|3134,HLA-A|3105,2.1
HSP90AA1|3320,DNAJA1|3301,2.1
HSPA9|3313,GOT1|2805,2.1
HSPE1|3336,COX7A2|1347,2.1
IARS2|55699,DARS2|55157,2.1
IDH3A|3419,GOT1|2805,2.1
IFI44|10561,HERC6|55008,2.1
IFIH1|64135,CMPK2|129607,2.1
IFIT3|3437,CMPK2|129607,2.1
INO80D|54891,CCNT2|905,2.1
KIF20A|10112,ANLN|54443,2.1
LAMA4|3910,COL4A1|1282,2.1
LAPTM5|7805,CD37|951,2.1
LAPTM5|7805,LAIR1|3903,2.1
LIG1|3978,CHTF18|63922,2.1
LMAN2|10960,ERGIC3|51614,2.1
LMF2|91289,HDAC10|83933,2.1
LNPEP|4012,KDM5A|5927,2.1
LST1|7940,AIF1|199,2.1
LYPLA1|10434,COMMD8|54951,2.1
MAPK8|5599,AKAP10|11216,2.1
MCAT|27349,DRG1|4733,2.1
MCM4|4173,MCM3|4172,2.1
METTL13|51603,DCTPP1|79077,2.1
MMADHC|27249,HAT1|8520,2.1
MMRN2|79812,CYYR1|116159,2.1
MMRN2|79812,FGD5|152273,2.1
MORF4L2|9643,ARF4|378,2.1
MRPL47|57129,COX7B|1349,2.1
MTMR3|8897,HPS4|89781,2.1
MYCT1|80177,AFAP1L1|134265,2.1
MYCT1|80177,CALCRL|10203,2.1
MYCT1|80177,CD34|947,2.1
MYO1F|4542,BIN2|51411,2.1
MYO1F|4542,FERMT3|83706,2.1
NCAPG|64151,CCNA2|890,2.1
NCKAP1L|3071,CD53|963,2.1
NDUFA11|126328,MRPL54|116541,2.1
NDUFB1|4707,COMMD1|150684,2.1
NDUFB1|4707,COX7C|1350,2.1
NDUFB3|4709,BOLA3|388962,2.1
NDUFB4|4710,NDUFA12|55967,2.1
NDUFB7|4713,NDUFA7|4701,2.1
NDUFB8|4714,COX6C|1345,2.1
NDUFS1|4719,GFM1|85476,2.1
NDUFS3|4722,COX7B|1349,2.1
NDUFS4|4724,HINT1|3094,2.1
NDUFS4|4724,MRPL33|9553,2.1
NEDD8|4738,MYL6|4637,2.1
NEU1|4758,ATP6AP1|537,2.1
NIPSNAP1|8508,ATXN10|25814,2.1
NOL12|79159,HSCB|150274,2.1
NUP50|10762,CCDC117|150275,2.1
NUS1|116150,DNAJC3|5611,2.1
OAS2|4939,CMPK2|129607,2.1
OGT|8473,NKTR|4820,2.1
PARP9|83666,HERC6|55008,2.1
PCNA|5111,MCM3|4172,2.1
PDIA3|2923,MANF|7873,2.1
PDIA4|9601,MANF|7873,2.1
PDIA6|10130,MAGT1|84061,2.1
PES1|23481,ADSL|158,2.1
PFDN6|10471,ACOT13|55856,2.1
PGK1|5230,PGAM1|5223,2.1
PI4KA|5297,PEX26|55670,2.1
PICK1|9463,NCAPH2|29781,2.1
PLK1|5347,CCNA2|890,2.1
POLR2F|5435,CBY1|25776,2.1
POLR2F|5435,HSCB|150274,2.1
POLR2F|5435,MCAT|27349,2.1
PPIB|5479,CALR|811,2.1
PPIB|5479,CDK2AP2|10263,2.1
PPIB|5479,PDIA3|2923,2.1
PPIL2|23759,ALG12|79087,2.1
PPP1R3A|5506,ASB10|136371,2.1
PRMT5|10419,GPATCH4|54865,2.1
PRPF38B|55119,PNN|5411,2.1
PRPF39|55015,ARGLU1|55082,2.1
PSMB3|5691,MRPL27|51264,2.1
PSMB8|5696,HLA-B|3106,2.1
PTPRB|5787,MMRN2|79812,2.1
PWWP2B|170394,FBXL15|79176,2.1
RAPGEF6|51735,CDK12|51755,2.1
RBM39|9584,ARGLU1|55082,2.1
RBM39|9584,CLK1|1195,2.1
RBX1|9978,DRG1|4733,2.1
RHBDD3|25807,ALG12|79087,2.1
RHOJ|57381,CXorf36|79742,2.1
RHOJ|57381,LAMA4|3910,2.1
RIMBP3C|150221,RIMBP3|85376,2.1
ROMO1|140823,CHMP2A|27243,2.1
RPL13|6137,FAU|2197,2.1
RPL17|6139,EEF1B2|1933,2.1
RPL18|6141,RPL13A|23521,2.1
RPL19|6143,FAU|2197,2.1
RPL24|6152,RPL12|6136,2.1
RPL26|6154,RPL10A|4736,2.1
RPL27A|6157,RPL13A|23521,2.1
RPL27A|6157,RPL18|6141,2.1
RPL29|6159,FAU|2197,2.1
RPL29|6159,RPL28|6158,2.1
RPL30|6156,RPL14|9045,2.1
RPL32|6161,PFDN5|5204,2.1
RPL32|6161,RPL13|6137,2.1
RPL32|6161,RPL23|9349,2.1
RPL34|6164,RPL11|6135,2.1
RPL35|11224,FAU|2197,2.1
RPL37|6167,RPL28|6158,2.1
RPL37A|6168,RPL23A|6147,2.1
RPL38|6169,PFDN5|5204,2.1
RPL38|6169,RPL11|6135,2.1
RPL38|6169,RPL18|6141,2.1
RPL38|6169,RPL30|6156,2.1
RPL5|6125,EEF1A1|1915,2.1
RPL5|6125,RPL10|6134,2.1
RPL5|6125,RPL32|6161,2.1
RPL7A|6130,RPL18|6141,2.1
RPL7A|6130,RPL29|6159,2.1
RPL7A|6130,RPL37A|6168,2.1
RPL8|6132,EEF1D|1936,2.1
RPL8|6132,RPL10|6134,2.1
RPL8|6132,RPL37A|6168,2.1
RPLP0|6175,EEF1G|1937,2.1
RPLP1|6176,RPL28|6158,2.1
RPLP1|6176,RPL36|25873,2.1
RPLP2|6181,RPL32|6161,2.1
RPN1|6184,MANF|7873,2.1
RPS10|6204,RPL12|6136,2.1
RPS10|6204,RPL29|6159,2.1
RPS10|6204,RPL30|6156,2.1
RPS11|6205,RPL29|6159,2.1
RPS11|6205,RPL35A|6165,2.1
RPS12|6206,RPL26|6154,2.1
RPS12|6206,RPL7|6129,2.1
RPS13|6207,RPL30|6156,2.1
RPS13|6207,RPL6|6128,2.1
RPS14|6208,RPL11|6135,2.1
RPS14|6208,RPL29|6159,2.1
RPS14|6208,RPL30|6156,2.1
RPS14|6208,RPL8|6132,2.1
RPS15|6209,EIF3G|8666,2.1
RPS15|6209,RNF126|55658,2.1
RPS15A|6210,BTF3|689,2.1
RPS15A|6210,EEF1B2|1933,2.1
RPS15A|6210,RPL11|6135,2.1
RPS15A|6210,RPS10|6204,2.1
RPS16|6217,RPL19|6143,2.1
RPS16|6217,RPL36|25873,2.1
RPS16|6217,RPL37A|6168,2.1
RPS16|6217,RPL8|6132,2.1
RPS18|6222,RPL27A|6157,2.1
RPS18|6222,RPL5|6125,2.1
RPS19|6223,RPL13A|23521,2.1
RPS19|6223,RPLP2|6181,2.1
RPS19BP1|91582,PICK1|9463,2.1
RPS2|6187,RPL7A|6130,2.1
RPS2|6187,RPS16|6217,2.1
RPS20|6224,RPL35|11224,2.1
RPS20|6224,RPL37A|6168,2.1
RPS20|6224,RPL38|6169,2.1
RPS20|6224,RPS11|6205,2.1
RPS20|6224,RPS19|6223,2.1
RPS21|6227,RPL10|6134,2.1
RPS21|6227,RPS13|6207,2.1
RPS21|6227,RPS17|6218,2.1
RPS23|6228,RPS10|6204,2.1
RPS23|6228,RPS11|6205,2.1
RPS24|6229,RPL14|9045,2.1
RPS24|6229,RPL27A|6157,2.1
RPS24|6229,RPL5|6125,2.1
RPS24|6229,RPS11|6205,2.1
